index,и,ы,е,э,ä,а,у,у_1,о,ъ,ь,ṷ,ў,п,п’,б,б’,ф,ф’,в,в’,м,м’,т,т’,д,д’,с,с’,з,з’,н,н’,л,л’,ц,дз,ш,ш’,ж,ж’,ч’,дж’,р,р’,j,к,к’,г,г’,х,х’,ɣ,ŋ
и,0.0,0.125,0.125,0.25,0.25,0.375,0.25,0.125,0.375,0.375,0.25,0.8636363636363636,0.9090909090909091,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,0.9583333333333334,0.9166666666666666,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9,0.85,1.0,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9615384615384616,0.9615384615384616,0.9166666666666666,0.875,0.9090909090909091,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334
ы,0.125,0.0,0.25,0.125,0.375,0.25,0.125,0.25,0.25,0.25,0.375,0.9090909090909091,0.8636363636363636,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,1.0,0.9166666666666666,0.9583333333333334,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.85,0.9,0.9615384615384616,0.9615384615384616,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,1.0,0.875,0.9166666666666666,0.9545454545454546,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666
е,0.125,0.25,0.0,0.125,0.125,0.25,0.375,0.25,0.25,0.25,0.125,0.8636363636363636,0.9090909090909091,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,0.9583333333333334,0.9166666666666666,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9,0.85,1.0,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9615384615384616,0.9615384615384616,0.9166666666666666,0.875,0.9090909090909091,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334
э,0.25,0.125,0.125,0.0,0.25,0.125,0.25,0.375,0.125,0.125,0.25,0.9090909090909091,0.8636363636363636,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,1.0,0.9166666666666666,0.9583333333333334,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.85,0.9,0.9615384615384616,0.9615384615384616,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,1.0,0.875,0.9166666666666666,0.9545454545454546,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666
ä,0.25,0.375,0.125,0.25,0.0,0.125,0.5,0.375,0.375,0.375,0.25,0.8636363636363636,0.9090909090909091,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,0.9583333333333334,0.9166666666666666,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9,0.85,1.0,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9615384615384616,0.9615384615384616,0.9166666666666666,0.875,0.9090909090909091,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334
а,0.375,0.25,0.25,0.125,0.125,0.0,0.375,0.5,0.25,0.25,0.375,0.9090909090909091,0.8636363636363636,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,1.0,0.9166666666666666,0.9583333333333334,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.85,0.9,0.9615384615384616,0.9615384615384616,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,1.0,0.875,0.9166666666666666,0.9545454545454546,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666
у,0.25,0.125,0.375,0.25,0.5,0.375,0.0,0.125,0.125,0.375,0.5,0.9090909090909091,0.8636363636363636,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,1.0,0.9166666666666666,0.9583333333333334,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.85,0.9,0.9615384615384616,0.9615384615384616,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,1.0,0.875,0.9166666666666666,0.9545454545454546,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666
у_1,0.125,0.25,0.25,0.375,0.375,0.5,0.125,0.0,0.25,0.5,0.375,0.8636363636363636,0.9090909090909091,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,0.9583333333333334,0.9166666666666666,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9,0.85,1.0,1.0,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9615384615384616,0.9615384615384616,0.9166666666666666,0.875,0.9090909090909091,1.0,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334
о,0.375,0.25,0.25,0.125,0.375,0.25,0.125,0.25,0.0,0.25,0.375,0.9090909090909091,0.8636363636363636,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,1.0,0.9166666666666666,0.9583333333333334,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.85,0.9,0.9615384615384616,0.9615384615384616,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,1.0,0.875,0.9166666666666666,0.9545454545454546,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666
ъ,0.375,0.25,0.25,0.125,0.375,0.25,0.375,0.5,0.25,0.0,0.125,0.9090909090909091,0.8636363636363636,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.96,1.0,0.9166666666666666,0.9583333333333334,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.85,0.9,0.9615384615384616,0.9615384615384616,0.9583333333333334,1.0,0.9583333333333334,1.0,1.0,1.0,0.875,0.9166666666666666,0.9545454545454546,0.9615384615384616,1.0,0.9615384615384616,1.0,0.9583333333333334,1.0,0.9583333333333334,0.9166666666666666
